151,💨,+1.8,1.90,1.38
152,😣,-0.7,5.52,2.35
153,😫,-0.8,3.58,1.89
154,😷,+0.1,4.15,2.04
155,:(,-0.8,5.96,2.44
156,🤖,+0.6,4.07,2.02
157,😠,-1.2,5.38,2.32
158,👶,+0.2,6.11,2.47
159,📍,-0.5,3.00,1.73
160,🐬,-1.0,2.57,1.60
161,🕵,+0.7,3.47,1.86
162,💖,+2.4,3.42,1.85
163,💜,+1.8,4.48,2.12
164,💎,+0.9,4.54,2.13
165,💵,+0.5,6.22,2.49
166,😅,+0.2,4.66,2.16
167,🇩,+0.1,4.78,2.19
168,😖,-1.0,4.69,2.17
169,🌈,+0.9,5.98,2.45
170,:d,+2.1,2.33,1.53
171,🍷,+0.6,5.44,2.33
172,🤤,-1.2,2.93,1.71
173,😯,-0.2,5.69,2.38
174,🐘,-1.0,5.48,2.34
175,🕊,+1.5,5.71,2.39
176,💓,+2.4,1.32,1.15
177,🤘,+1.8,4.28,2.07
178,😌,+1.9,1.55,1.24
179,🆘,-0.9,4.03,2.01
180,🤫,+0.9,5.64,2.38
181,🌎,+0.9,5.42,2.33
182,📚,+1.1,4.93,2.22
183,😥,+0.0,5.97,2.44
184,🍻,+1.1,4.74,2.18
185,💐,+3.1,0.44,0.66
186,🧠,-1.2,5.10,2.26
187,🇲,-0.1,4.87,2.21
188,💗,+2.3,3.41,1.85
189,🌏,+0.3,6.07,2.46
190,👑,+1.1,6.21,2.49
191,💫,+0.3,2.81,1.68
192,📰,-0.7,3.74,1.93
193,👿,-2.2,2.27,1.51
194,🐦,-0.3,5.87,2.42
195,📖,+0.4,5.96,2.44
196,📺,-0.1,2.83,1.68
197,🌪,-2.4,2.70,1.64
